// General information: 
//  MT Manager version: 2021.4.0 
//  XDA version: 2021.4.0 build 6323 rev 112641 built on 2021-09-28
// Device information: 
//  DeviceId: 00B4A3D1
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Year	Month	Day	Second	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	Gyr_X	Gyr_Y	Gyr_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Roll	Pitch	Yaw	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	GyrTemp_X	GyrTemp_Y	GyrTemp_Z
65109						-5.391669	0.888678	8.088115	0.073011	-0.107568	-0.052537	0.013466	0.124789	-0.004842	0.460867	0.275480	0.104592	-0.837122	5.447725	33.891767	-120.670132	-0.423426	-0.713978	-0.557626	0.829229	-0.553325	0.078807	-0.364815	-0.429031	0.826343			
65110						-5.466360	0.665665	8.049034	-0.073922	0.077065	-0.060778	0.017853	0.123337	-0.002227	0.460799	0.276028	0.104777	-0.836955	5.465479	33.959627	-120.658587	-0.422945	-0.713494	-0.558609	0.829180	-0.553371	0.079000	-0.365484	-0.429774	0.825661			
65111						-5.424983	0.618536	8.132047	-0.169166	0.029125	-0.019131	0.028286	0.122815	0.002970	0.460710	0.276607	0.104928	-0.836794	5.488294	34.028733	-120.648034	-0.422470	-0.712992	-0.559609	0.829087	-0.553472	0.079264	-0.366243	-0.430478	0.824958			
65112						-5.527712	0.879471	8.125980	0.083183	-0.047404	0.053996	0.037737	0.127684	0.008793	0.460659	0.277224	0.105026	-0.836606	5.521804	34.098486	-120.628641	-0.421881	-0.712548	-0.560617	0.829011	-0.553527	0.079681	-0.367093	-0.431142	0.824233			
65113						-5.573432	0.944050	8.079855	0.163337	-0.038666	0.046838	0.033697	0.116304	0.009311	0.460592	0.277791	0.105131	-0.836442	5.550006	34.163518	-120.614047	-0.421375	-0.712108	-0.561557	0.828925	-0.553606	0.080025	-0.367868	-0.431768	0.823559			
65114						-5.598891	1.017198	8.061433	0.232787	-0.059964	0.051955	0.025399	0.105227	0.006197	0.460557	0.278285	0.105232	-0.836284	5.574699	34.220629	-120.597862	-0.420889	-0.711744	-0.562381	0.828882	-0.553627	0.080326	-0.368521	-0.432339	0.822967			
65115						-5.517327	1.104239	7.985337	0.291750	-0.140416	-0.049439	0.010681	0.095344	0.000303	0.460495	0.278706	0.105397	-0.836157	5.585493	34.274199	-120.590810	-0.420533	-0.711343	-0.563154	0.828842	-0.553671	0.080430	-0.369015	-0.432943	0.822429			
65116						-5.409335	1.096873	8.076437	0.201455	-0.259582	-0.035934	-0.005229	0.090177	-0.013694	0.460428	0.279057	0.105619	-0.836049	5.584443	34.323866	-120.589290	-0.420266	-0.710934	-0.563870	0.828828	-0.553701	0.080367	-0.369351	-0.433576	0.821944			
65117						-5.423666	1.138323	8.039864	0.252349	-0.264983	-0.054745	-0.024166	0.089979	-0.029403	0.460294	0.279360	0.105959	-0.835979	5.563502	34.376028	-120.603113	-0.420176	-0.710390	-0.564622	0.828793	-0.553805	0.080017	-0.369534	-0.434333	0.821462			
65118						-5.597358	1.011546	7.996663	0.235127	-0.061622	-0.002429	-0.041654	0.082434	-0.043367	0.460158	0.279578	0.106356	-0.835930	5.529777	34.422895	-120.622536	-0.420181	-0.709850	-0.565297	0.828789	-0.553886	0.079489	-0.369535	-0.435112	0.821049			
